epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,102.147,0.94635,0.53789,0.91259,0.9242,0.74757,0.85073,0.52324,1.27578,0.80802,1.05359,0.0013862,0.0013862,0.0013862
64,103.859,0.98419,0.56625,0.91868,0.83742,0.80015,0.86178,0.54548,1.21424,0.70173,1.00092,0.0013763,0.0013763,0.0013763
65,105.447,0.94508,0.53891,0.91597,0.8977,0.79612,0.87625,0.56041,1.2069,0.69585,0.98274,0.0013664,0.0013664,0.0013664
66,106.991,0.99722,0.56829,0.9216,0.84646,0.80291,0.85365,0.52585,1.20462,0.74169,0.99236,0.0013565,0.0013565,0.0013565
67,108.537,0.92571,0.53942,0.91176,0.79833,0.81553,0.84798,0.55967,1.18157,0.74724,0.97911,0.0013466,0.0013466,0.0013466
68,110.085,0.94218,0.53731,0.92648,0.85759,0.73786,0.79928,0.50501,1.25009,0.80117,1.02049,0.0013367,0.0013367,0.0013367
69,111.63,0.87811,0.51205,0.9109,0.89557,0.74934,0.83204,0.52025,1.25738,0.78139,1.01114,0.0013268,0.0013268,0.0013268
70,113.179,0.9296,0.5518,0.89987,0.8101,0.81553,0.86396,0.55017,1.13203,0.69109,0.96474,0.0013169,0.0013169,0.0013169
71,114.831,0.88959,0.53929,0.90519,0.85293,0.76699,0.86997,0.56589,1.17229,0.72019,0.98823,0.001307,0.001307,0.001307
72,116.376,0.85607,0.51109,0.88848,0.81548,0.77234,0.8608,0.55321,1.17056,0.74833,0.99033,0.0012971,0.0012971,0.0012971
73,117.918,0.85504,0.51069,0.88722,0.86388,0.73938,0.82412,0.5476,1.19117,0.83916,0.98222,0.0012872,0.0012872,0.0012872
74,119.462,0.89782,0.5278,0.91079,0.91765,0.72816,0.84302,0.53021,1.19899,0.8486,0.97747,0.0012773,0.0012773,0.0012773
75,120.999,0.86974,0.52379,0.89658,0.89314,0.78641,0.86698,0.55293,1.19879,0.74129,0.99239,0.0012674,0.0012674,0.0012674
76,122.549,0.85202,0.52124,0.8937,0.83125,0.81305,0.87837,0.5654,1.17592,0.69804,0.97704,0.0012575,0.0012575,0.0012575
77,124.09,0.89327,0.52553,0.9094,0.78801,0.83495,0.85987,0.53173,1.24511,0.79976,0.98227,0.0012476,0.0012476,0.0012476
78,125.63,0.88346,0.51368,0.88699,0.76658,0.86408,0.86066,0.53371,1.25413,0.81456,0.9838,0.0012377,0.0012377,0.0012377
79,127.164,0.87056,0.52385,0.8914,0.84467,0.74757,0.87476,0.54882,1.23028,0.77069,0.98749,0.0012278,0.0012278,0.0012278
80,128.713,0.85404,0.52098,0.88886,0.83507,0.73786,0.8345,0.51194,1.23804,0.85934,0.98517,0.0012179,0.0012179,0.0012179
81,130.26,0.83832,0.49942,0.87627,0.89513,0.69903,0.79559,0.50094,1.22244,0.98679,0.98786,0.001208,0.001208,0.001208
82,131.796,0.87946,0.50639,0.90208,0.78199,0.76699,0.81784,0.53319,1.14942,0.82792,0.96306,0.0011981,0.0011981,0.0011981
83,133.336,0.85026,0.49348,0.88354,0.922,0.68858,0.81155,0.54454,1.12464,0.84224,0.9614,0.0011882,0.0011882,0.0011882
84,134.888,0.85037,0.50683,0.89539,0.86021,0.77665,0.88816,0.58644,1.13103,0.70333,0.96307,0.0011783,0.0011783,0.0011783
85,136.473,0.87219,0.50661,0.87621,0.89026,0.78764,0.9064,0.60169,1.10101,0.64773,0.95384,0.0011684,0.0011684,0.0011684
86,138.128,0.84894,0.48097,0.8873,0.88306,0.78641,0.90024,0.58763,1.1901,0.66561,0.96931,0.0011585,0.0011585,0.0011585
87,139.673,0.8672,0.52337,0.89252,0.90635,0.78641,0.89743,0.58955,1.15276,0.67235,0.96034,0.0011486,0.0011486,0.0011486
88,141.229,0.8002,0.45603,0.88962,0.87063,0.78407,0.88022,0.58526,1.196,0.66338,0.97564,0.0011387,0.0011387,0.0011387
89,142.777,0.86581,0.49532,0.89638,0.80847,0.81964,0.87901,0.57017,1.17041,0.6954,0.96907,0.0011288,0.0011288,0.0011288
90,144.314,0.83056,0.49144,0.88081,0.85468,0.81553,0.88395,0.54227,1.24239,0.72159,0.97917,0.0011189,0.0011189,0.0011189
91,145.866,0.86455,0.48979,0.88578,0.87189,0.81553,0.86683,0.54641,1.19051,0.70578,0.97782,0.001109,0.001109,0.001109
92,147.411,0.85639,0.49888,0.88635,0.85437,0.80583,0.86488,0.55799,1.20234,0.71729,0.97444,0.0010991,0.0010991,0.0010991
93,148.948,0.87125,0.48653,0.87919,0.91968,0.74757,0.85724,0.52499,1.23829,0.73311,1.0087,0.0010892,0.0010892,0.0010892
94,150.491,0.79704,0.47811,0.86284,0.86825,0.78641,0.88206,0.56122,1.17904,0.73438,0.96527,0.0010793,0.0010793,0.0010793
95,152.034,0.81169,0.47005,0.90277,0.88658,0.7767,0.88491,0.54947,1.23008,0.73187,0.99702,0.0010694,0.0010694,0.0010694
96,153.576,0.80757,0.47776,0.87646,0.90836,0.76995,0.88378,0.55305,1.18019,0.66998,0.98273,0.0010595,0.0010595,0.0010595
97,155.124,0.78095,0.46103,0.87118,0.88806,0.7767,0.8806,0.5557,1.20702,0.71181,0.97342,0.0010496,0.0010496,0.0010496
98,156.673,0.79997,0.475,0.88553,0.91451,0.72816,0.86728,0.56429,1.1667,0.6869,0.95995,0.0010397,0.0010397,0.0010397
99,158.212,0.77428,0.45295,0.87944,0.91951,0.69903,0.82885,0.53107,1.19425,0.77246,0.9673,0.0010298,0.0010298,0.0010298
100,159.758,0.79894,0.47673,0.88173,0.79467,0.7767,0.82593,0.53953,1.17985,0.74838,0.9735,0.0010199,0.0010199,0.0010199
101,161.388,0.75479,0.46499,0.85986,0.89895,0.68932,0.81427,0.50671,1.25126,0.85435,1.01644,0.00101,0.00101,0.00101
102,162.934,0.78966,0.47233,0.88004,0.85526,0.72816,0.85646,0.52564,1.25823,0.75026,1.02709,0.0010001,0.0010001,0.0010001
103,164.476,0.79182,0.47795,0.88716,0.85844,0.76538,0.88024,0.54532,1.21187,0.72139,1.00183,0.0009902,0.0009902,0.0009902
104,166.024,0.77733,0.45958,0.85883,0.91371,0.71967,0.82806,0.52981,1.20802,0.74521,0.98626,0.0009803,0.0009803,0.0009803
105,167.557,0.7772,0.452,0.8671,0.92767,0.69903,0.83984,0.53499,1.21139,0.74245,0.99782,0.0009704,0.0009704,0.0009704
106,169.099,0.76163,0.44474,0.8682,0.84295,0.7767,0.86568,0.54949,1.19055,0.7303,0.99514,0.0009605,0.0009605,0.0009605
